state,year,population_growth_percent,vehicles_registered_million,gdp_per_capita_inr,electricity_consumption_kwh_per_capita,forest_cover_percent,economic_growth_percent,industrial_output_index,public_transport_usage_percent,co2_emissions
Andhra Pradesh,2020,11.025673932796069,14.347699907107863,250064.55964093553,1231.1607908544702,23.11060199266187,7.5,114.59630661635829,26.40014229955968,1228.0184550592296
Andhra Pradesh,2021,9.925371147840785,14.598375738639179,249493.3794921783,1330.7232648235592,22.881998356301793,7.5,107.93807679135844,23.776781089546386,1239.1796504166557
Andhra Pradesh,2022,10.939182474391309,15.934853629279212,265210.79831790377,1266.1569815101273,23.008623446880446,7.5,122.12769909358244,24.247358951262573,1299.0792133499526
Andhra Pradesh,2023,12.038373991780421,17.440918206267042,308497.68404193263,1337.6100746972409,23.38353555878219,7.5,132.6536675469925,26.966243322229527,1322.7836533434058
Andhra Pradesh,2024,12.390967726115775,16.81785707669564,320205.0997953414,1397.2163605703656,23.05732972040597,7.5,112.78133198337044,26.222125069566324,1335.662699530199
Arunachal Pradesh,2020,26.215020823595534,0.2964879456457623,212318.50506444395,881.9450787651373,79.01393096444684,6.5,43.206985675191426,11.889609998188392,347.8096685469155
Arunachal Pradesh,2021,26.515141727015923,0.3398726018442414,223490.98021925098,937.3866865319128,78.59204315770603,6.5,48.15034877760246,12.011060359839236,457.1964522528016
Arunachal Pradesh,2022,26.11939457951326,0.3434414518333662,231669.43017205302,955.4111675095234,79.22387606980817,6.5,48.17786874852577,12.208549023217003,425.4648848241504
Arunachal Pradesh,2023,25.87047892708965,0.3391353707097309,237145.11054452087,988.2572989562536,79.19364525434233,6.5,51.55822942133387,11.676144191814384,460.42225751815005
Arunachal Pradesh,2024,25.90182507545751,0.37454415185968537,243750.40207394064,973.8066095124515,79.64897641699164,6.5,51.053836408216426,11.533017164758613,550.0624029446072
Assam,2020,16.864199370292965,4.884145576796884,115365.56178280458,951.1642332772998,35.9076665295141,7.8,70.30306425615515,20.19584525509768,766.9243939137383
Assam,2021,16.881388881745078,5.127745939687808,132650.86761165617,1002.8645663991837,36.06574509829918,7.8,72.23333486317283,19.021627222384968,779.0126224316269
Assam,2022,17.26381477181849,5.579190851100389,138593.80199586746,1080.9821170417135,36.074815105113224,7.8,80.13275577261938,20.40825275571447,765.7078744168673
Assam,2023,16.92597294290365,5.234409739194505,138614.36987080352,1087.8811537688416,36.473235983929044,7.8,79.74214096617713,18.29741639576216,799.0883001142441
Assam,2024,17.266320038607788,5.553369148460989,160731.6631788401,1184.346096209669,35.971411340283915,7.8,83.27241497437612,21.029155637325644,941.7697383155739
Bihar,2020,25.359641709945706,11.662627482455417,55040.35692526786,336.57141764945914,8.083706457731102,8.5,58.7643691016326,14.330818237689131,568.7497985452687
Bihar,2021,25.439317595158045,11.961916394189313,56000.73964064878,376.2235794768902,8.182368952914961,8.5,60.87866858089382,14.179220814019713,709.5878624581676
Bihar,2022,24.400899657733945,13.437874610511775,64058.76640218615,374.7188818430368,8.055982736946907,8.5,63.49243519216291,14.68788368876186,650.1481652040674
Bihar,2023,25.85816383735124,13.260809177744857,69174.35603023841,424.3294438216075,7.866069915634841,8.5,68.82295504405269,15.165832111123803,677.7200865910909
Bihar,2024,25.573244237948995,13.556076614477297,70559.5824378778,378.00751377768546,8.058226997869493,8.5,68.7140367044558,14.710059045512692,634.695122085892
Chhattisgarh,2020,23.099005054929826,7.512977069122544,124182.50289812453,1005.9146032855092,41.32208952495793,7.0,96.37643057025795,13.619344326501265,866.3790009251776
Chhattisgarh,2021,21.15187231090316,7.267027209571198,134200.24060360546,1049.0878426976146,40.69204541017668,7.0,109.05247994530846,14.040317274948222,908.0343227367762
Chhattisgarh,2022,23.644187352390365,7.743557445983955,147241.7107466994,995.6498488691855,41.03989090224406,7.0,107.22749027635065,14.531386066728242,927.7041962132653
Chhattisgarh,2023,22.530205185922416,7.526111558327128,157330.05824610908,1117.201747852252,40.78996375551825,7.0,105.12010236117989,15.019568287658126,990.7386005049009
Chhattisgarh,2024,23.15409140836876,8.276948538581665,148901.46780523405,1136.9276993267847,41.35851398867745,7.0,117.81150254886467,15.388244265351842,965.4208270788673
Goa,2020,7.680047036437234,1.2066553553825918,449867.3290580031,2418.047254377145,59.54304392856487,6.8,68.57173619442456,27.947671470927475,1253.2242073444793
Goa,2021,8.506386952531285,1.1874874046223949,517077.3609029408,2514.241038606057,59.832323445818524,6.8,65.3812266919526,29.270811808491764,1265.5390319245323
Goa,2022,7.673292218413171,1.3478524239135663,552204.9914407696,2785.011557198896,60.113163562519354,6.8,71.89578846139108,27.90469474808768,1540.323431682481
Goa,2023,7.8881155196520965,1.347431138194965,589791.2047416682,2747.1712547315437,60.4696572087703,6.8,71.37512730791511,28.113299185661674,1438.5519873271824
Goa,2024,9.157015676933392,1.4373341654424208,732377.7354295457,2623.303926363691,59.9802749216781,6.8,80.450825496086,26.960341409570077,1354.1460434879716
Gujarat,2020,19.104658799618328,25.217781404101782,251993.4087559913,2101.1743861516807,10.83344014199204,8.2,170.1565562231112,26.707473455444735,2063.174539769774
Gujarat,2021,19.30871643658986,29.828359721854703,280141.3547777737,2321.734442131687,11.564347120832178,8.2,191.61970584051352,26.10764155213713,2433.814814654453
Gujarat,2022,19.635033865344376,28.64565510264436,300509.0713169067,2179.910104973898,10.565595829875127,8.2,186.87763950343822,26.633777445831733,2202.066335813406
Gujarat,2023,19.4478409439863,28.506487601627658,320455.0985268128,2624.1406887119306,10.340358213013975,8.2,189.13198447347654,29.475098515250973,2470.839872105502
Gujarat,2024,19.275209452571787,32.902913526037274,330502.39482596406,2622.14110914132,11.132004335016,8.2,207.1233965603039,26.67084155563528,2572.3264740296636
Haryana,2020,20.08248050123311,10.328535992515938,307232.7444633004,1660.1200695711,3.849383732694217,7.8,124.5220528369448,28.290477581046737,1397.5536630217575
Haryana,2021,21.101707792619138,11.670618726115247,306758.0373971818,1601.0150719780936,3.693630154860786,7.8,147.31527398303035,25.61664737610111,1514.4322963001098
Haryana,2022,19.871190601483207,10.9392050286324,339903.85791583615,1925.6174721489274,4.212506934189806,7.8,157.260374555957,25.23104515461859,1630.4352192371703
Haryana,2023,20.00054952335748,11.888227243829174,361808.2478966711,1846.9972335739146,4.073140214131359,7.8,145.83850092858972,23.927052774773482,1604.0019997246422
Haryana,2024,20.425327198003803,13.502176084419906,401366.3875524584,2031.7846959644662,3.8307764107789817,7.8,173.14641160586166,25.875387349261242,1813.798441976459
Himachal Pradesh,2020,13.452762966478993,1.866461992199587,238766.84666340656,1288.3900638843943,27.615908680398732,6.5,61.01548922248325,15.539489739009781,775.9343994106888
Himachal Pradesh,2021,13.49351515278019,1.9061943025724521,206631.57949782073,1398.785060845033,28.26173719848404,6.5,61.10430170862951,16.09760785171629,913.9079646797122
Himachal Pradesh,2022,13.219365111014593,1.9730247991800267,251052.74606937458,1485.6494128721715,28.1950603533876,6.5,66.94925059914169,18.048067630615037,917.9948456755658
Himachal Pradesh,2023,12.328497543634759,2.0523541350954106,237656.76875936455,1533.4113874297936,27.970247240866186,6.5,75.15450195240388,15.92315208022028,939.4885298176422
Himachal Pradesh,2024,13.716715766150548,2.026167505195136,268807.56725690415,1540.2536482741316,28.5539910988143,6.5,70.82978698576599,16.91941866102854,992.8570451791581
Jharkhand,2020,21.826827303490653,5.784046737481587,110716.99063407865,928.0282469556375,29.678974570102156,7.1,91.11699263835152,16.402300038642995,748.764687912749
Jharkhand,2021,22.551317732619516,6.154898787147668,112816.43047736902,877.5157930981168,29.54234244872258,7.1,91.45019099015165,16.970259783077584,778.530818233478
Jharkhand,2022,22.022862074990318,6.964643176321908,113949.16339894074,948.0127321953408,29.79242757903563,7.1,93.20763748494096,18.505180540290183,832.8813370886501
Jharkhand,2023,22.367930826703503,7.065084336738508,124377.12665493484,989.3695628139141,29.98632419509335,7.1,105.4408269057355,16.467078000880395,946.631078760326
Jharkhand,2024,22.56438120515174,6.650141601646689,142843.10222976824,1039.0131737972663,30.07300183479681,7.1,100.78053393682333,18.540581274297388,918.4399287164409
Karnataka,2020,15.860678607725136,28.453717557152714,255322.64212974795,1656.9291902471111,21.927629182643102,8.0,150.53674677914543,35.20317829027431,1804.0425803015025
Karnataka,2021,15.910960377117641,28.833929047788015,289297.5224169181,1555.3294916325597,22.10561661895429,8.0,152.2742719152321,33.04380648097975,1807.8432242398424
Karnataka,2022,16.506855634529323,29.825170892527755,309800.30367134546,1567.2366621013261,21.624538172742866,8.0,166.12548434645475,35.07509315639439,1904.7595030459624
Karnataka,2023,15.926767150756989,33.40482846941718,322947.69870364736,1860.0553568450152,22.433129381221978,8.0,171.54453367801125,35.65334256436544,2095.782105400034
Karnataka,2024,15.577921682354676,35.788635908677186,399177.33690309274,1830.735883853558,21.97535464648223,8.0,184.5820963884902,35.05707693576923,2141.453870964998
Kerala,2020,5.382043584144179,16.74502409529296,289906.56226356805,1828.8937790271273,55.33518874947644,6.5,77.95993440458102,35.93806179621361,1306.9649855167052
Kerala,2021,5.494735244462321,16.095057280492984,268962.28519019554,2108.780220804879,55.10281760391331,6.5,82.07732026917958,37.58208250714151,1459.0618984582427
Kerala,2022,4.286196092431505,17.36727468449923,321688.5350896294,2027.368325854523,55.13702596574613,6.5,82.29347666003943,38.51733866067457,1482.3747994481387
Kerala,2023,5.198700034924929,18.82878306382284,328202.208422144,2198.603038034799,55.17093018406966,6.5,87.99004202519099,38.85485481325491,1599.0298358933258
Kerala,2024,5.25058637115545,20.396724959339423,376904.65108482284,2145.6860403381656,55.13431256800519,6.5,95.35423764592299,40.21031059022382,1647.2230420083579
Madhya Pradesh,2020,20.151218248320006,18.544784474046974,135012.25285144578,1213.3411358685094,25.192816827960264,7.3,98.59569592906543,19.16881595088659,1225.8002077913252
Madhya Pradesh,2021,20.98785340665581,19.764805170777844,149980.18486746273,1232.4400587244074,25.39874575903973,7.3,94.24450329856252,17.731422859225404,1269.9367888732054
Madhya Pradesh,2022,20.224972206483738,19.788752406600437,165944.07829889253,1152.4630664183203,25.058956350910442,7.3,107.21968737513482,19.361187958455666,1240.022791861798
Madhya Pradesh,2023,20.362788226735773,20.679354241458686,181190.77591508874,1260.3910995787926,25.212701127276553,7.3,114.10539406593219,19.58005645801963,1359.9984967531236
Madhya Pradesh,2024,20.213464087858068,24.03286745463622,175167.1649206319,1278.0103884361113,24.97307929171383,7.3,113.43394991256034,19.53180092553449,1413.2419552055396
Maharashtra,2020,16.007789523790734,43.78029205857018,238195.40395606187,1923.1768401779113,20.432035164634843,6.8,196.89116231302262,33.72924916088739,2288.230349552464
